plan_rows,exe_times
560043,5802.329
1107667,2972.071
3623957,13339.372
131143,7209.920
55951,3188.491
633314,24894.170
3997001,4558.972
2609129,2506.922
919057,200.605
394154,7008.847
174,4632.500
2634497,8646.823
353387,1589.551
4320508,5232.198
26662052,23701.406
1550064,7722.198
790231,13999.249
2194617,7800.611
9476311,8475.929
246,1528.056
19771437,29126.588
3739478,8660.057
152499,1716.144
45408848,64952.803
1703844,30477.662
915101,689.562
716352,5489.395
5625746,81298.927
246,1109.099
13926693,7911.724
725684,9855.380
471955,11130.930
5676230,23147.797
12433,16317.303
464566,650.689
31400,11613.841
1279517,717.222
1394432,6615.769
1108134,1399.403
2203105,1801.102
460978,548.353
454124,588.033
1927528,7091.816
21699269,16815.449
26370593,57854.400
1338312,2058.860
2032905,648.894
3936,9253.645
27055,1321.468
1668154,1519.374
16201301,18006.143
4972096,18192.951
151,1948.964
840947,4232.026
3998100,16162.416
17331050,16361.770
862679,4939.767
252761,4637.338
245571,3057.787
2813077,1990.649
3937452,2082.007
3342508,2269.082
2226390,1783.562
141274,1526.511
14756802,89545.663
456566,11141.662
368,487.646
2029287,22458.809
2330562,1525.457
667531,1266.206
77326,23708.510
12726058,16745.053
901091,1756.625
246,1476.455
2536041,20852.439
739904,18751.113
2635640,35427.021
6660338,40728.948
36225612,24930.993
6621371,23492.587
7351319,25261.376
63221,1243.025
1319395,9860.157
2290243,19696.739
1348138,6520.552
211652,5127.853
392896,1240.597
155666,12917.145
32971975,94664.167
747465,5106.568
4722887,23273.150
973769,1506.870
978,1770.019
599,14766.266
12928982,7208.680
846003,15078.992
473617,7501.458
10603,4641.153
2875898,37794.306
1510673,21530.353
4523930,3669.277
56676856,35099.333
2073893,1814.103
13929354,9494.256
731130,16121.376
1553611,1560.519
11,1711.365
5757593,27359.870
488264,16450.203
809768,10593.650
33240,15480.606
981,10725.532
69039,3677.754
500,14361.546
64813282,63648.490
429029,6119.755
130996,1748.906
14739122,9428.638
3441269,3934.478
505083,15228.114
4257117,19889.176
2215158,2079.460
13110437,64460.593
4816,3519.087
246,2263.607
2353250,1438.880
4668140,11886.205
424903,7549.435
79750,5264.687
176,14104.497
51,3141.341
3184266,9242.733
29861,1427.959
14443,2663.767
651960,6240.712
824762,22325.411
133753,4151.302
123198,7005.955
175848,12359.425
815409,1719.393
5861843,68720.845
6677805,40607.493
8859586,6305.659
1027105,34453.951
6183,2106.799
211146,3883.736
10301234,152025.671
1279517,1301.575
2167764,16246.910
1158179,6803.923
840152,12275.088
4284225,54808.802
26408246,50871.450
7782840,23690.278
246,1434.097
5474,1602.731
233613,20602.723
104,531.129
253573,14416.321
121006,7199.221
1001997,4640.579
114696,1514.267
683593,1630.273
25923976,62179.778
481259,958.125
246,1674.056
1015706,5039.700
396570,6995.145
6203881,38109.752
7464,1523.973
2585652,46889.756
17937,4986.450
460978,531.871
35,3411.694
1380035,1617.895
36181,23059.210
10540268,109658.364
396,16854.907
3804356,51829.707
246,1512.605
460978,17027.857
712921,11193.490
6464254,64159.347
5427238,20274.227
225202,1446.995
2368,2908.564
1470026,1920.421
287124,1165.284
5762763,14282.291
6066503,34658.502
3557864,31015.225
3512800,32776.119
13797833,76382.906
4415954,24856.718
251871,4604.302
3385006,17584.775
1525049,14525.622
1097298,15259.927
90521,1090.083
276728,3390.686
33621,1574.655
1095612,1719.260
37031,2525.747
127743,3677.048
368,518.493
2161736,31805.146
2763218,44587.164
1279517,5916.066
324,16935.022
449174,3475.107
2687102,44273.043
17806791,147640.523
2562,3637.471
177700,21050.865
85211,1322.520
22074679,54054.865
447961,5173.961
2194617,15658.091
2735034,14405.517
4826483,13475.094
18123616,51793.556
35875431,16821.811
10885,8118.310
881762,5451.281
85426,12874.726
3891127,23574.015
460978,18318.614
14566051,48935.968
146202,1729.246
2977158,32254.049
7437,925.115
41,17039.193
1605344,1254.567
1821966,1791.550
24848,9244.109
2122574,7198.073
88714,4854.670
128,9524.321
13174,18990.544
246,1533.208
20024311,47544.887
35881,2759.652
111849,6000.444
257184,44734.887
3926513,68719.277
618698,1001.792
221981,6314.748
1322302,29384.560
4785906,13702.024
11197252,19861.147
297032,9382.226
1226204,1235.939
13631341,8804.067
11434766,95656.430
1256365,14509.291
10357,4074.633
7437,1577.097
11149,17414.060
751345,1687.327
136792,17919.765
1540800,663.612
432692,1471.159
847410,1783.454
285331,13387.433
246,1497.009
8159540,17958.164
464934,549.095
5197,3911.606
12665229,7225.415
15192214,69096.110
3695198,9465.314
224,16447.988
7235534,7981.926
1131902,17607.859
4204544,31308.318
3895303,9288.583
118484,3213.378
104,996.677
2238283,21992.991
5880796,8408.417
2778435,49119.408
1493012,6936.672
246,1602.124
1909068,7304.872
29831,10555.984
182286,8542.931
15208962,23356.770
4099418,1980.448
8841901,8622.317
4034839,18670.711
953954,11705.020
344531,8664.834
3304446,2148.443
20,1090.443
185623,20594.951
6032,1502.453
14353822,92043.662
130,14314.155
26757444,18526.670
119889,2957.981
1525,9221.500
42708,2377.369
237,17905.336
311740,16041.215
231405,14716.271
5244289,109032.791
77562,12583.502
51,1000.833
180073,3093.359
154997,9581.152
2232,1793.249
2592446,1853.807
1329612,5981.860
469580,3499.193
3214845,7838.595
2469098,5520.628
24,410.623
2303674,7503.640
104,289.563
46,9147.353
17617,1342.448
324,17253.068
880032,1454.897
7458476,53650.864
1171680,21824.007
414055,3983.876
3571588,2013.360
51,983.998
342465,8122.603
246,1519.070
409712,41776.199
76646,21270.963
522581,1721.484
2710162,45543.843
12048054,49848.416
262664,3135.037
922577,10085.539
2712059,14410.224
2009959,8284.563
3142414,33914.682
1182526,21807.077
18172785,115210.807
1596972,6789.293
1504586,8706.589
17719869,18604.514
697803,11177.156
2144374,36757.823
451508,5807.000
159738,21824.689
583663,5452.879
184362,6399.437
15504424,42207.101
2506053,6887.682
138388,4616.361
278302,7999.853
17,1102.168
17937,4964.469
350181,12956.400
12600,18384.951
4409093,14971.843
581270,1321.523
378475,3952.392
43351,11416.884
170314,3099.870
321025,3925.982
40061,1709.449
191791,3749.292
46503447,135485.576
21137223,131317.028
3173294,1183.553
6231111,5752.188
1434,8107.127
915101,4882.132
14951068,60848.059
1668458,444.754
2319228,1477.594
627037,30856.673
17937,6335.913
58811,1557.168
12956672,29479.794
49111,2967.050
5130,3411.208
460645,18237.311
157,3196.147
1201868,46573.786
12665229,30163.676
9767026,8391.825
2289256,26420.603
14483353,7542.555
56612,3183.762
1767198,9524.840
4213750,2119.446
2701,2099.721
9609,2462.967
3202889,29669.257
11115165,8213.629
661811,24156.717
4642,17529.916
246222,4271.429
16258,2634.196
822986,1707.669
225200,7036.180
246,1027.686
415336,23239.044
1329612,1378.734
65074,15935.984
246,1743.853
1019213,6507.727
464566,18884.702
631255,6710.334
22549201,16733.339
948207,5585.943
45,2027.169
17937,6800.463
2145,9037.005
230809,10427.867
33619,3314.176
522301,23130.491
34328,4746.062
1279517,6500.258
339985,1357.710
211163936,139135.133
246,518.504
580569,5271.382
464934,8138.914
159244356,322115.411
15792480,22918.641
809768,1918.753
23499554,20516.226
10847995,9037.112
107800,346.085
264176,10213.780
95,2913.583
1878094,34111.124
13040465,67455.544
325935,19611.043
364,21818.077
3799167,25319.568
283091,3670.189
246,1434.991
98,3158.579
11803162,36651.215
944272,10010.011
328809,3970.132
883520,1144.200
246,1266.791
122645,2309.839
3615862,21136.295
410474,4377.383
7908281,61034.360
36421,3232.391
616095,5701.194
127476,14783.080
102321,1374.441
4056980,2029.914
2056927,908.291
1557109,6923.020
1550856,1260.155
435,16603.470
26357182,16346.792
944036,4439.539
292831,9340.011
2924902,37208.572
559296,4303.281
1132321,21069.879
1124837,6929.566
235086,16768.392
13068959,64219.281
4189,8423.283
1097658,7229.826
18331339,75261.783
84488099,143918.968
2695507,69136.204
170,14018.615
2144272,1467.258
2015992,22436.961
1329612,1013.441
463071,7686.219
87927,2922.772
361739,691.763
201047,3214.010
104026,15748.649
732318,4927.488
38088,2694.807
3904546,34060.210
246,1483.895
14547209,62960.449
1973707,746.643
3623957,15193.535
170822,8626.973
679349,1039.144
2470383,45077.142
1264125,5204.070
2947601,27541.760
114542,1182.303
3533712,2114.766
2170114,1935.626
2261624,59189.930
5897221,19143.876
94,12731.268
1391113,17018.882
725720,18946.789
369,13527.274
4180,2290.332
1395600,18233.734
181,1532.943
89271663,227086.989
171759,4153.412
57,895.853
359014,2851.418
1860996,1135.660
1988330,6785.974
853,8386.039
10373707,49210.710
454124,18844.535
246,1654.766
104,1073.963
74218,16785.990
16113,4243.389
59166,8063.974
12685154,14881.215
2712737,39500.464
3068194,6087.897
3781511,14596.295
8450283,37500.584
10799,1983.366
27245040,13274.037
1104206,13699.626
1963,1434.250
383217,6108.516
500,12091.585
1367,1673.600
651960,11225.851
36037,2496.849
246,1080.239
181619,3284.067
214003,7135.928
500,12133.127
580,15714.504
782370,4845.347
1736414,17905.674
4679137,30144.927
51,1018.067
1320459,6680.468
9445835,18691.031
616095,11446.373
149870,6652.508
3007258,1682.982
2351699,2011.758
824762,24634.465
2905,1391.356
1127228,5206.433
750654,1192.469
4957672,25582.298
239768,3630.099
2039841,13631.902
290506,17853.415
2113531,21578.581
293228,6361.221
465,2804.417
51,813.414
1187728,1201.450
17937,6844.366
104,497.382
677762,11404.776
2446913,13911.705
1350560,1584.104
100409,1469.001
